date,ticker,price,decision,rsi,sentiment,reason
2025-12-22,LTC-USDT,77.05,sell,39,undefined,"MAX6"
2025-12-22,SOL-USDT,125.93,hold,44,undefined,"W11"
2025-12-22,XRP-USDT,1.90,hold,41,undefined,"W11"
2025-12-23,ADA-USDT,0.36,hold,36,undefined,"W-5"
2025-12-23,BNB-USDT,844.30,hold,41,undefined,"W-11"
2025-12-23,BTC-USDT,87486.00,hold,43,undefined,"W-11"
2025-12-23,DOGE-USDT,0.13,hold,41,undefined,"W-11"
2025-12-23,DOT-USDT,1.76,hold,30,undefined,"W-5"
2025-12-23,ETH-USDT,2965.02,hold,46,undefined,"W-11"
2025-12-23,LTC-USDT,77.01,hold,39,undefined,"W-11"
2025-12-23,SOL-USDT,124.01,hold,42,undefined,"W-11"
2025-12-23,XRP-USDT,1.87,hold,39,undefined,"W-11"
2025-12-24,ADA-USDT,0.36,buy,35,undefined,"P80R40"
2025-12-24,BNB-USDT,846.58,hold,42,undefined,"W10"
2025-12-24,BTC-USDT,87669.45,hold,44,undefined,"W10"
2025-12-24,DOGE-USDT,0.13,hold,40,undefined,"W10"
2025-12-24,DOT-USDT,1.74,buy,29,undefined,"P80R40"
2025-12-24,ETH-USDT,2947.47,hold,45,undefined,"W10"
2025-12-24,LTC-USDT,75.79,buy,37,undefined,"P80R40"
2025-12-24,SOL-USDT,122.53,hold,40,undefined,"W10"
2025-12-24,XRP-USDT,1.86,buy,38,undefined,"P80R40"
2025-12-25,ADA-USDT,0.34,sell,32,undefined,"NEG65"
2025-12-25,BNB-USDT,829.64,hold,38,undefined,"W-11"
2025-12-25,BTC-USDT,87225.27,hold,43,undefined,"W-11"
2025-12-25,DOGE-USDT,0.12,hold,36,undefined,"W-5"
2025-12-25,DOT-USDT,1.69,sell,27,undefined,"NEG65"
2025-12-25,ETH-USDT,2903.95,hold,43,undefined,"W-11"
2025-12-25,LTC-USDT,75.71,sell,37,undefined,"NEG65"
2025-12-25,SOL-USDT,120.06,hold,37,undefined,"W-5"
2025-12-25,XRP-USDT,1.83,sell,36,undefined,"NEG65"
2025-12-26,ADA-USDT,0.35,buy,35,undefined,"P80R40"
2025-12-26,BNB-USDT,834.72,buy,40,undefined,"P80R40"
2025-12-26,BTC-USDT,87369.56,hold,43,undefined,"W10"
2025-12-26,DOGE-USDT,0.12,buy,35,undefined,"P80R40"
2025-12-26,DOT-USDT,1.72,buy,31,undefined,"P80R40"
2025-12-26,ETH-USDT,2927.99,hold,44,undefined,"W10"
2025-12-26,LTC-USDT,76.87,hold,40,undefined,"W10"
2025-12-26,SOL-USDT,122.26,hold,41,undefined,"W10"
2025-12-26,XRP-USDT,1.84,buy,38,undefined,"P80R40"
2025-12-27,ADA-USDT,0.37,sell,42,undefined,"NEG65"
2025-12-27,BNB-USDT,845.04,sell,43,undefined,"NEG65"
2025-12-27,BTC-USDT,87877.01,hold,45,undefined,"W-11"
2025-12-27,DOGE-USDT,0.12,sell,38,undefined,"NEG65"
2025-12-27,DOT-USDT,1.91,sell,45,undefined,"NEG65"
2025-12-27,ETH-USDT,2949.05,hold,46,undefined,"W-11"
2025-12-27,LTC-USDT,80.33,hold,49,undefined,"W-11"
2025-12-27,SOL-USDT,124.73,hold,45,undefined,"W-11"
2025-12-27,XRP-USDT,1.87,sell,41,undefined,"NEG65"
2025-12-28,ADA-USDT,0.37,hold,42,undefined,"W-14"
2025-12-28,BNB-USDT,859.32,hold,48,undefined,"W-14"
2025-12-28,BTC-USDT,87952.71,hold,45,undefined,"W-14"
2025-12-28,DOGE-USDT,0.12,hold,38,undefined,"W-8"
2025-12-28,DOT-USDT,1.85,hold,42,undefined,"W-14"
2025-12-28,ETH-USDT,2950.91,hold,46,undefined,"W-14"
2025-12-28,LTC-USDT,78.73,hold,46,undefined,"W-6"
2025-12-28,SOL-USDT,125.27,hold,46,undefined,"W-14"
2025-12-28,XRP-USDT,1.87,hold,40,undefined,"W-14"
2025-12-29,ADA-USDT,0.35,hold,38,undefined,"W-14"
2025-12-29,BNB-USDT,852.46,hold,46,undefined,"W-14"
2025-12-29,BTC-USDT,87237.13,hold,43,undefined,"W-14"
2025-12-29,DOGE-USDT,0.12,hold,37,undefined,"W-8"
2025-12-29,DOT-USDT,1.82,hold,40,undefined,"W-6"
2025-12-29,ETH-USDT,2937.90,hold,45,undefined,"W-14"
2025-12-29,LTC-USDT,78.32,hold,45,undefined,"W-6"
2025-12-29,SOL-USDT,123.28,hold,43,undefined,"W-14"
2025-12-29,XRP-USDT,1.85,hold,39,undefined,"W-14"
2025-12-30,ADA-USDT,0.35,hold,38,undefined,"W-4"
2025-12-30,BNB-USDT,861.65,hold,49,undefined,"W-2"
2025-12-30,BTC-USDT,88485.49,hold,48,undefined,"W-10"
2025-12-30,DOGE-USDT,0.12,hold,38,undefined,"W-4"
2025-12-30,DOT-USDT,1.81,hold,40,undefined,"W-2"
2025-12-30,ETH-USDT,2973.69,hold,48,undefined,"W-10"
2025-12-30,LTC-USDT,78.89,hold,46,undefined,"W-2"
2025-12-30,SOL-USDT,125.01,hold,46,undefined,"W-2"
2025-12-30,XRP-USDT,1.88,hold,43,undefined,"W-10"
2025-12-31,ADA-USDT,0.33,buy,34,undefined,"P80R40"
2025-12-31,BNB-USDT,864.30,hold,50,undefined,"W16"
2025-12-31,BTC-USDT,87648.22,hold,45,undefined,"W16"
2025-12-31,DOGE-USDT,0.12,buy,33,undefined,"P80R40"
2025-12-31,DOT-USDT,1.79,buy,39,undefined,"P80R40"
2025-12-31,ETH-USDT,2971.64,hold,48,undefined,"W16"
2025-12-31,LTC-USDT,76.85,hold,42,undefined,"W20"
2025-12-31,SOL-USDT,124.65,hold,45,undefined,"W16"
2025-12-31,XRP-USDT,1.84,buy,39,undefined,"P80R40"
2026-01-01,ADA-USDT,0.36,sell,42,undefined,"NEG65"
2026-01-01,BNB-USDT,864.39,hold,50,undefined,"W-6"
2026-01-01,BTC-USDT,88839.04,hold,50,undefined,"W-6"
2026-01-01,DOGE-USDT,0.13,sell,45,undefined,"NEG65"
2026-01-01,DOT-USDT,2.00,sell,52,undefined,"NEG65"
2026-01-01,ETH-USDT,3004.19,hold,51,undefined,"W-6"
2026-01-01,LTC-USDT,79.97,hold,50,undefined,"W-2"
2026-01-01,SOL-USDT,126.90,hold,49,undefined,"W-6"
2026-01-01,XRP-USDT,1.88,sell,44,undefined,"NEG65"
2026-01-02,ADA-USDT,0.39,hold,53,undefined,"W-6"
2026-01-02,BNB-USDT,881.25,hold,55,undefined,"W-6"
2026-01-02,BTC-USDT,89995.13,hold,54,undefined,"W-6"
2026-01-02,DOGE-USDT,0.14,hold,59,undefined,"W-6"
2026-01-02,DOT-USDT,2.17,hold,60,undefined,"W-2"
2026-01-02,ETH-USDT,3125.45,hold,60,undefined,"W-6"
2026-01-02,LTC-USDT,81.93,hold,54,undefined,"W-2"
2026-01-02,SOL-USDT,132.29,hold,57,undefined,"W-6"
2026-01-02,XRP-USDT,2.01,hold,56,undefined,"W-6"
2026-01-03,ADA-USDT,0.39,hold,52,undefined,"W-6"
2026-01-03,BNB-USDT,878.63,hold,54,undefined,"W-6"
2026-01-03,BTC-USDT,90628.01,hold,56,undefined,"W-6"
2026-01-03,DOGE-USDT,0.14,hold,60,undefined,"W-6"
2026-01-03,DOT-USDT,2.13,hold,57,undefined,"W-2"
2026-01-03,ETH-USDT,3127.11,hold,60,undefined,"W-6"
2026-01-03,LTC-USDT,82.08,hold,54,undefined,"W-2"
2026-01-03,SOL-USDT,133.37,hold,58,undefined,"W-6"
2026-01-03,XRP-USDT,2.02,hold,57,undefined,"W-6"
2026-01-04,ADA-USDT,0.40,hold,55,undefined,"W16"
2026-01-04,BNB-USDT,895.43,hold,59,undefined,"W20"
2026-01-04,BTC-USDT,91529.73,hold,59,undefined,"W20"
2026-01-04,DOGE-USDT,0.15,hold,64,undefined,"W16"
2026-01-04,DOT-USDT,2.14,hold,58,undefined,"W20"
2026-01-04,ETH-USDT,3144.70,hold,61,undefined,"W20"
2026-01-04,LTC-USDT,82.26,hold,55,undefined,"W20"
2026-01-04,SOL-USDT,134.12,hold,59,undefined,"W20"
2026-01-04,XRP-USDT,2.09,hold,62,undefined,"W16"
2026-01-05,ADA-USDT,0.42,hold,59,undefined,"W-2"
2026-01-05,BNB-USDT,910.31,hold,63,undefined,"W-2"
2026-01-05,BTC-USDT,93859.71,hold,66,undefined,"W-2"
2026-01-05,DOGE-USDT,0.15,hold,65,undefined,"W-6"
2026-01-05,DOT-USDT,2.21,hold,61,undefined,"W-2"
2026-01-05,ETH-USDT,3224.99,hold,66,undefined,"W-2"
2026-01-05,LTC-USDT,83.46,hold,57,undefined,"W-2"
2026-01-05,SOL-USDT,137.90,hold,64,undefined,"W-2"
2026-01-05,XRP-USDT,2.35,hold,75,undefined,"W-8"
2026-01-06,ADA-USDT,0.42,hold,59,undefined,"W-2"
2026-01-06,BNB-USDT,917.64,hold,65,undefined,"W-2"
2026-01-06,BTC-USDT,93747.97,hold,65,undefined,"W-2"
2026-01-06,DOGE-USDT,0.15,hold,64,undefined,"W-2"
2026-01-06,DOT-USDT,2.23,hold,62,undefined,"W-2"
2026-01-06,ETH-USDT,3296.84,hold,69,undefined,"W-8"
2026-01-06,LTC-USDT,83.96,hold,58,undefined,"W-2"
2026-01-06,SOL-USDT,141.08,hold,67,undefined,"W-2"
2026-01-06,XRP-USDT,2.30,hold,70,undefined,"W-8"
2026-01-07,ADA-USDT,0.40,hold,53,undefined,"W-7"
2026-01-07,BNB-USDT,900.30,hold,58,undefined,"W-7"
2026-01-07,BTC-USDT,91364.16,hold,55,undefined,"W-7"
2026-01-07,DOGE-USDT,0.15,hold,59,undefined,"W-7"
2026-01-07,DOT-USDT,2.15,hold,56,undefined,"W-7"
2026-01-07,ETH-USDT,3168.72,hold,58,undefined,"W-7"
2026-01-07,LTC-USDT,81.71,hold,52,undefined,"W-7"
2026-01-07,SOL-USDT,136.39,hold,59,undefined,"W-7"
2026-01-07,XRP-USDT,2.17,hold,59,undefined,"W-7"
2026-01-08,ADA-USDT,0.40,hold,52,undefined,"W-2"
2026-01-08,BNB-USDT,892.26,hold,55,undefined,"W-7"
2026-01-08,BTC-USDT,91099.99,hold,54,undefined,"W-2"
2026-01-08,DOGE-USDT,0.14,hold,54,undefined,"W-2"
2026-01-08,DOT-USDT,2.11,hold,54,undefined,"W-2"
2026-01-08,ETH-USDT,3106.65,hold,53,undefined,"W-2"
2026-01-08,LTC-USDT,81.31,hold,51,undefined,"W-2"
2026-01-08,SOL-USDT,138.37,hold,61,undefined,"W-7"
2026-01-08,XRP-USDT,2.12,hold,56,undefined,"W-2"
2026-01-09,ADA-USDT,0.39,hold,50,undefined,"W-2"
2026-01-09,BNB-USDT,896.86,hold,56,undefined,"W-7"
2026-01-09,BTC-USDT,90641.28,hold,52,undefined,"W-2"
2026-01-09,DOGE-USDT,0.14,hold,53,undefined,"W-2"
2026-01-09,DOT-USDT,2.08,hold,52,undefined,"W-2"
2026-01-09,ETH-USDT,3088.40,hold,51,undefined,"W-2"
2026-01-09,LTC-USDT,81.49,hold,51,undefined,"W-2"
2026-01-09,SOL-USDT,135.97,hold,57,undefined,"W-7"
2026-01-09,XRP-USDT,2.10,hold,54,undefined,"W-2"
2026-01-10,ADA-USDT,0.39,hold,49,undefined,"W-2"
2026-01-10,BNB-USDT,907.93,hold,59,undefined,"W-7"
2026-01-10,BTC-USDT,90504.70,hold,52,undefined,"W-2"
2026-01-10,DOGE-USDT,0.14,hold,52,undefined,"W-2"
2026-01-10,DOT-USDT,2.09,hold,53,undefined,"W-2"
2026-01-10,ETH-USDT,3086.72,hold,51,undefined,"W-2"
2026-01-10,LTC-USDT,81.19,hold,50,undefined,"W-10"
2026-01-10,SOL-USDT,135.84,hold,57,undefined,"W-2"
2026-01-10,XRP-USDT,2.09,hold,54,undefined,"W-2"
2026-01-11,ADA-USDT,0.39,hold,50,undefined,"W-10"
2026-01-11,BNB-USDT,904.32,hold,58,undefined,"W-7"
2026-01-11,BTC-USDT,91013.65,hold,54,undefined,"W-10"
2026-01-11,DOGE-USDT,0.14,hold,50,undefined,"W-10"
2026-01-11,DOT-USDT,2.07,hold,51,undefined,"W-10"
2026-01-11,ETH-USDT,3123.45,hold,54,undefined,"W-10"
2026-01-11,LTC-USDT,78.79,hold,44,undefined,"W-10"
2026-01-11,SOL-USDT,139.70,hold,61,undefined,"W-7"
2026-01-11,XRP-USDT,2.07,hold,53,undefined,"W-10"
2026-01-12,ADA-USDT,0.39,hold,49,undefined,"W-8"
2026-01-12,BNB-USDT,905.78,hold,58,undefined,"W-5"
2026-01-12,BTC-USDT,91296.20,hold,55,undefined,"W-8"
2026-01-12,DOGE-USDT,0.14,hold,49,undefined,"W-8"
2026-01-12,DOT-USDT,2.06,hold,50,undefined,"W-8"
2026-01-12,ETH-USDT,3095.75,hold,52,undefined,"W-8"
2026-01-12,LTC-USDT,76.12,hold,38,undefined,"W3"
2026-01-12,SOL-USDT,139.22,hold,61,undefined,"W-5"
2026-01-12,XRP-USDT,2.05,hold,51,undefined,"W-8"
2026-01-13,ADA-USDT,0.42,hold,59,undefined,"W-15"
2026-01-13,BNB-USDT,943.73,hold,68,undefined,"W-7"
2026-01-13,BTC-USDT,95414.00,hold,67,undefined,"W-15"
2026-01-13,DOGE-USDT,0.15,hold,60,undefined,"W-15"
2026-01-13,DOT-USDT,2.28,hold,63,undefined,"W-15"
2026-01-13,ETH-USDT,3325.82,hold,65,undefined,"W-15"
2026-01-13,LTC-USDT,78.18,hold,44,undefined,"W-10"
2026-01-13,SOL-USDT,145.51,hold,67,undefined,"W-7"
2026-01-13,XRP-USDT,2.17,hold,58,undefined,"W-10"
2026-01-14,ADA-USDT,0.41,hold,57,undefined,"W-15"
2026-01-14,BNB-USDT,948.47,hold,69,undefined,"W-13"
2026-01-14,BTC-USDT,96951.78,hold,70,undefined,"W-13"
2026-01-14,DOGE-USDT,0.15,hold,58,undefined,"W-10"
2026-01-14,DOT-USDT,2.23,hold,59,undefined,"W-15"
2026-01-14,ETH-USDT,3354.92,hold,66,undefined,"W-7"
2026-01-14,LTC-USDT,76.67,hold,41,undefined,"W-5"
2026-01-14,SOL-USDT,146.69,hold,68,undefined,"W-13"
2026-01-14,XRP-USDT,2.14,hold,56,undefined,"W-10"
2026-01-15,ADA-USDT,0.39,hold,50,undefined,"W-2"
2026-01-15,BNB-USDT,931.20,hold,62,undefined,"W-7"
2026-01-15,BTC-USDT,95604.80,hold,64,undefined,"W-7"
2026-01-15,DOGE-USDT,0.14,hold,51,undefined,"W-10"
2026-01-15,DOT-USDT,2.12,hold,52,undefined,"W-2"
2026-01-15,ETH-USDT,3318.69,hold,63,undefined,"W-7"
2026-01-15,LTC-USDT,72.21,hold,33,undefined,"W1"
2026-01-15,SOL-USDT,142.40,hold,60,undefined,"W-7"
2026-01-15,XRP-USDT,2.08,hold,52,undefined,"W-10"
2026-01-16,ADA-USDT,0.40,hold,50,undefined,"W-2"
2026-01-16,BNB-USDT,938.16,hold,63,undefined,"W-7"
2026-01-16,BTC-USDT,95550.94,hold,64,undefined,"W-7"
2026-01-16,DOGE-USDT,0.14,hold,49,undefined,"W-2"
2026-01-16,DOT-USDT,2.12,hold,52,undefined,"W-2"
2026-01-16,ETH-USDT,3296.28,hold,61,undefined,"W-7"
2026-01-16,LTC-USDT,75.22,hold,41,undefined,"W-9"
2026-01-16,SOL-USDT,144.89,hold,63,undefined,"W-7"
2026-01-16,XRP-USDT,2.07,hold,51,undefined,"W-10"
2026-01-17,ADA-USDT,0.40,hold,51,undefined,"W-2"
2026-01-17,BNB-USDT,947.12,hold,65,undefined,"W-7"
2026-01-17,BTC-USDT,95147.77,hold,62,undefined,"W-7"
2026-01-17,DOGE-USDT,0.14,hold,49,undefined,"W-2"
2026-01-17,DOT-USDT,2.18,hold,55,undefined,"W-2"
2026-01-17,ETH-USDT,3310.56,hold,62,undefined,"W-7"
2026-01-17,LTC-USDT,74.92,hold,41,undefined,"W-9"
2026-01-17,SOL-USDT,143.72,hold,61,undefined,"W-7"
2026-01-17,XRP-USDT,2.06,hold,50,undefined,"W-2"
2026-01-18,ADA-USDT,0.38,hold,44,undefined,"W-10"
2026-01-18,BNB-USDT,932.51,hold,59,undefined,"W-2"
2026-01-18,BTC-USDT,93673.14,hold,56,undefined,"W-2"
2026-01-18,DOGE-USDT,0.13,hold,43,undefined,"W-10"
2026-01-18,DOT-USDT,2.06,hold,49,undefined,"W-2"
2026-01-18,ETH-USDT,3284.03,hold,60,undefined,"W-2"
2026-01-18,LTC-USDT,72.29,hold,36,undefined,"W-3"
2026-01-18,SOL-USDT,137.87,hold,52,undefined,"W-2"
2026-01-18,XRP-USDT,1.99,hold,45,undefined,"W-10"
2026-01-19,ADA-USDT,0.37,hold,43,undefined,"W-5"
2026-01-19,BNB-USDT,923.60,hold,56,undefined,"W-2"
2026-01-19,BTC-USDT,92631.00,hold,52,undefined,"W-2"
2026-01-19,DOGE-USDT,0.13,hold,41,undefined,"W-9"
2026-01-19,DOT-USDT,2.03,hold,47,undefined,"W-10"
2026-01-19,ETH-USDT,3189.55,hold,52,undefined,"W-2"
2026-01-19,LTC-USDT,70.80,hold,34,undefined,"W-3"
2026-01-19,SOL-USDT,133.44,hold,46,undefined,"W-10"
2026-01-19,XRP-USDT,1.99,hold,45,undefined,"W-14"
2026-01-20,ADA-USDT,0.35,hold,38,undefined,"W-3"
2026-01-20,BNB-USDT,884.20,hold,44,undefined,"W-5"
2026-01-20,BTC-USDT,88427.66,hold,40,undefined,"W-5"
2026-01-20,DOGE-USDT,0.12,hold,36,undefined,"W-3"
2026-01-20,DOT-USDT,1.90,hold,40,undefined,"W-9"
2026-01-20,ETH-USDT,2939.88,hold,38,undefined,"W1"
2026-01-20,LTC-USDT,67.12,hold,29,undefined,"W-3"
2026-01-20,SOL-USDT,125.80,hold,38,undefined,"W-5"
2026-01-20,XRP-USDT,1.89,hold,38,undefined,"W-9"
2026-01-21,ADA-USDT,0.37,hold,43,undefined,"W-9"
2026-01-21,BNB-USDT,883.36,hold,44,undefined,"W-5"
2026-01-21,BTC-USDT,89454.73,hold,43,undefined,"W-5"
2026-01-21,DOGE-USDT,0.13,hold,40,undefined,"W-9"
2026-01-21,DOT-USDT,1.96,hold,44,undefined,"W-9"
2026-01-21,ETH-USDT,2982.27,hold,41,undefined,"W-5"
2026-01-21,LTC-USDT,68.48,hold,33,undefined,"W-3"
2026-01-21,SOL-USDT,129.54,hold,43,undefined,"W-5"
2026-01-21,XRP-USDT,1.95,hold,44,undefined,"W-9"
2026-01-22,ADA-USDT,0.36,hold,42,undefined,"W-9"
2026-01-22,BNB-USDT,888.06,hold,45,undefined,"W-5"
2026-01-22,BTC-USDT,89559.67,hold,44,undefined,"W-5"
2026-01-22,DOGE-USDT,0.12,hold,39,undefined,"W-9"
2026-01-22,DOT-USDT,1.93,hold,43,undefined,"W-9"
2026-01-22,ETH-USDT,2952.69,hold,39,undefined,"W-5"
2026-01-22,LTC-USDT,68.19,hold,33,undefined,"W-3"
2026-01-22,SOL-USDT,128.47,hold,42,undefined,"W-5"
2026-01-22,XRP-USDT,1.92,hold,42,undefined,"W-9"
2026-01-23,ADA-USDT,0.36,hold,42,undefined,"W-9"
2026-01-23,BNB-USDT,891.63,hold,47,undefined,"W-10"
2026-01-23,BTC-USDT,89600.26,hold,44,undefined,"W-5"
2026-01-23,DOGE-USDT,0.12,hold,39,undefined,"W-9"
2026-01-23,DOT-USDT,1.93,hold,43,undefined,"W-9"
2026-01-23,ETH-USDT,2956.41,hold,40,undefined,"W-5"
2026-01-23,LTC-USDT,68.07,hold,32,undefined,"W-3"
2026-01-23,SOL-USDT,127.43,hold,41,undefined,"W-9"
2026-01-23,XRP-USDT,1.92,hold,42,undefined,"W-9"
2026-01-24,ADA-USDT,0.36,hold,41,undefined,"W-9"
2026-01-24,BNB-USDT,887.17,hold,45,undefined,"W-5"
2026-01-24,BTC-USDT,89225.34,hold,43,undefined,"W-5"
2026-01-24,DOGE-USDT,0.12,hold,39,undefined,"W-9"
2026-01-24,DOT-USDT,1.93,hold,43,undefined,"W-9"
2026-01-24,ETH-USDT,2953.22,hold,40,undefined,"W-5"
2026-01-24,LTC-USDT,68.19,hold,33,undefined,"W-3"
2026-01-24,SOL-USDT,127.21,hold,41,undefined,"W-9"
2026-01-24,XRP-USDT,1.91,hold,41,undefined,"W-9"
2026-01-25,ADA-USDT,0.34,hold,36,undefined,"W-3"
2026-01-25,BNB-USDT,866.02,hold,39,undefined,"W-5"
2026-01-25,BTC-USDT,86670.36,hold,36,undefined,"W-3"
2026-01-25,DOGE-USDT,0.12,hold,35,undefined,"W-3"
2026-01-25,DOT-USDT,1.82,hold,37,undefined,"W-3"
2026-01-25,ETH-USDT,2816.89,hold,33,undefined,"W-3"
2026-01-25,LTC-USDT,67.30,hold,31,undefined,"W-3"
2026-01-25,SOL-USDT,118.85,hold,33,undefined,"W-3"
2026-01-25,XRP-USDT,1.84,hold,36,undefined,"W-3"
2026-01-26,ADA-USDT,0.35,hold,42,undefined,"W10"
2026-01-26,BNB-USDT,879.41,hold,44,undefined,"W10"
2026-01-26,BTC-USDT,88347.08,hold,42,undefined,"W10"
2026-01-26,DOGE-USDT,0.12,hold,39,undefined,"W10"
2026-01-26,DOT-USDT,1.88,hold,41,undefined,"W10"
2026-01-26,ETH-USDT,2930.35,hold,42,undefined,"W10"
2026-01-26,LTC-USDT,69.72,hold,39,undefined,"W5"
2026-01-26,SOL-USDT,124.24,hold,41,undefined,"W10"
2026-01-26,XRP-USDT,1.90,hold,43,undefined,"W10"
2026-01-27,ADA-USDT,0.36,hold,45,undefined,"W8"
2026-01-27,BNB-USDT,898.36,hold,51,undefined,"W8"
2026-01-27,BTC-USDT,89250.00,hold,45,undefined,"W8"
2026-01-27,DOGE-USDT,0.13,hold,44,undefined,"W8"
2026-01-27,DOT-USDT,1.88,hold,41,undefined,"W13"
2026-01-27,ETH-USDT,3026.77,hold,48,undefined,"W8"
2026-01-27,LTC-USDT,70.03,hold,40,undefined,"W8"
2026-01-27,SOL-USDT,127.19,hold,45,undefined,"W8"
2026-01-27,XRP-USDT,1.92,hold,44,undefined,"W8"
2026-01-28,ADA-USDT,0.36,hold,44,undefined,"W-14"
2026-01-28,BNB-USDT,902.91,hold,52,undefined,"W-14"
2026-01-28,BTC-USDT,89299.99,hold,46,undefined,"W-14"
2026-01-28,DOGE-USDT,0.13,hold,43,undefined,"W-14"
2026-01-28,DOT-USDT,1.87,hold,41,undefined,"W-9"
2026-01-28,ETH-USDT,3010.78,hold,47,undefined,"W-14"
2026-01-28,LTC-USDT,69.42,hold,39,undefined,"W-6"
2026-01-28,SOL-USDT,125.35,hold,43,undefined,"W-9"
2026-01-28,XRP-USDT,1.91,hold,44,undefined,"W-14"
2026-01-29,ADA-USDT,0.33,hold,38,undefined,"W-3"
2026-01-29,BNB-USDT,868.69,hold,42,undefined,"W-9"
2026-01-29,BTC-USDT,84650.16,hold,34,undefined,"W-3"
2026-01-29,DOGE-USDT,0.12,hold,36,undefined,"W-3"
2026-01-29,DOT-USDT,1.74,hold,34,undefined,"W-3"
2026-01-29,ETH-USDT,2822.59,hold,38,undefined,"W-9"
2026-01-29,LTC-USDT,66.24,hold,33,undefined,"W5"
2026-01-29,SOL-USDT,117.82,hold,36,undefined,"W-3"
2026-01-29,XRP-USDT,1.81,hold,37,undefined,"W-3"
2026-01-30,ADA-USDT,0.32,buy,34,undefined,"P80R40"
2026-01-30,BNB-USDT,858.81,hold,40,undefined,"W13"
2026-01-30,BTC-USDT,84260.49,buy,34,undefined,"P80R40"
2026-01-30,DOGE-USDT,0.12,buy,35,undefined,"P80R40"
2026-01-30,DOT-USDT,1.69,buy,32,undefined,"P80R40"
2026-01-30,ETH-USDT,2707.38,buy,34,undefined,"P80R40"
2026-01-30,LTC-USDT,65.47,buy,32,undefined,"P80R40"
2026-01-30,SOL-USDT,117.59,buy,36,undefined,"P80R40"
2026-01-30,XRP-USDT,1.74,buy,33,undefined,"P80R40"
2026-01-31,ADA-USDT,0.29,sell,29,undefined,"SL5"
2026-01-31,BNB-USDT,781.38,buy,27,undefined,"P80R40"
2026-01-31,BTC-USDT,78741.09,sell,25,undefined,"SL5"
2026-01-31,DOGE-USDT,0.10,sell,28,undefined,"SL5"
2026-01-31,DOT-USDT,1.55,sell,27,undefined,"SL5"
2026-01-31,ETH-USDT,2451.95,sell,27,undefined,"SL5"
2026-01-31,LTC-USDT,59.53,sell,24,undefined,"SL5"
2026-01-31,SOL-USDT,105.58,sell,28,undefined,"SL5"
2026-01-31,XRP-USDT,1.65,sell,28,undefined,"SL5"
2026-02-01,ADA-USDT,0.29,buy,28,undefined,"P80R40"
2026-02-01,BNB-USDT,758.54,sell,25,undefined,"MAX6"
2026-02-01,BTC-USDT,76968.21,buy,23,undefined,"P80R40"
2026-02-01,DOGE-USDT,0.10,buy,28,undefined,"P80R40"
2026-02-01,DOT-USDT,1.50,buy,25,undefined,"P80R40"
2026-02-01,ETH-USDT,2270.15,buy,23,undefined,"P80R40"
2026-02-01,LTC-USDT,58.49,buy,23,undefined,"P80R40"
2026-02-01,SOL-USDT,100.79,buy,26,undefined,"P80R40"
2026-02-01,XRP-USDT,1.59,buy,26,undefined,"P80R40"
2026-02-02,ADA-USDT,0.30,sell,33,undefined,"NEG65"
